,Nr. crt.,Județ,Număr de cazuri confirmate(total),Număr de cazuri nou confirmate,Incidența  înregistrată la 14 zile
0,1.,Alba,13313,50,"1,72"
1,2.,Arad,15173,54,"1,43"
2,3.,Argeș,19848,44,"1,15"
3,4.,Bacău,18029,73,"1,62"
4,5.,Bihor,19400,82,"1,89"
5,6.,Bistrița-Năsăud,7977,34,"1,23"
6,7.,Botoșani,9278,78,"1,54"
7,8.,Brașov,27557,150,"2,51"
8,9.,Brăila,9089,29,"1,74"
9,10.,Buzău,8783,16,"0,68"
10,11.,Caraș-Severin,7307,35,"1,95"
11,12.,Călărași,6904,26,"1,22"
12,13.,Cluj,33888,186,"3,49"
13,14.,Constanța,29018,121,"2,43"
14,15.,Covasna,5408,25,"0,91"
15,16.,Dâmbovița,16021,44,"1,3"
16,17.,Dolj,16767,48,"1,59"
17,18.,Galați,18066,67,"1,96"
18,19.,Giurgiu,7060,74,"1,3"
19,20.,Gorj,5495,28,"0,9"
20,21.,Harghita,5650,32,"0,69"
21,22.,Hunedoara,12877,63,"1,47"
22,23.,Ialomița,7406,21,"1,19"
23,24.,Iași,30174,125,"1,21"
24,25.,Ilfov,27331,120,"3,48"
25,26.,Maramureș,12460,64,"2,61"
26,27.,Mehedinți,5395,13,"0,95"
27,28.,Mureș,16153,65,"1,21"
28,29.,Neamț,12092,58,"1,42"
29,30.,Olt,10250,46,"0,57"
30,31.,Prahova,25423,73,"1,13"
31,32.,SatuMare,7895,73,"1,7"
32,33.,Sălaj,6824,75,"1,98"
33,34.,Sibiu,18042,44,"1,54"
34,35.,Suceava,17750,114,"1,84"
35,36.,Teleorman,8620,35,"1,71"
36,37.,Timiș,30379,194,"4,07"
37,38.,Tulcea,5892,15,"1,15"
38,39.,Vaslui,11563,54,"1,56"
39,40.,Vâlcea,10684,24,"1,45"
40,41.,Vrancea,7556,30,"0,71"
41,42.,Mun.București,113825,257,"2,96"
42,1.,Alba,13351,38,"1,67"
43,2.,Arad,15249,76,"1,35"
44,3.,Argeș,19902,54,"1,07"
45,4.,Bacău,18099,70,"1,52"
46,5.,Bihor,19450,50,"1,77"
47,6.,Bistrița-Năsăud,8010,33,"1,17"
48,7.,Botoșani,9337,59,"1,52"
49,8.,Brașov,27673,116,"2,39"
50,9.,Brăila,9127,38,"1,71"
51,10.,Buzău,8797,14,"0,63"
52,11.,Caraș-Severin,7339,32,"1,87"
53,12.,Călărași,6927,23,"1,16"
54,13.,Cluj,34089,201,"3,31"
55,14.,Constanța,29074,56,"2,28"
56,15.,Covasna,5415,7,"0,85"
57,16.,Dâmbovița,16081,60,"1,3"
58,17.,Dolj,16817,50,"1,5"
59,18.,Galați,18149,83,"1,86"
60,19.,Giurgiu,7069,9,"1,19"
61,20.,Gorj,5519,24,"0,89"
62,21.,Harghita,5663,13,"0,68"
63,22.,Hunedoara,12968,91,"1,53"
64,23.,Ialomița,7420,14,"1,12"
65,24.,Iași,30278,104,"1,00"
66,25.,Ilfov,27477,146,"3,12"
67,26.,Maramureș,12581,121,"2,59"
68,27.,Mehedinți,5412,17,"0,91"
69,28.,Mureș,16201,48,"1,15"
70,29.,Neamț,12159,67,"1,32"
71,30.,Olt,10308,58,"0,54"
72,31.,Prahova,25472,49,"1,07"
73,32.,SatuMare,7944,49,"1,72"
74,33.,Sălaj,6869,45,"1,97"
75,34.,Sibiu,18086,44,"1,49"
76,35.,Suceava,17862,112,"1,88"
77,36.,Teleorman,8641,21,"1,36"
78,37.,Timiș,30624,245,"3,93"
79,38.,Tulcea,5914,22,"1,12"
80,39.,Vaslui,11597,34,"1,45"
81,40.,Vâlcea,10726,42,"1,38"
82,41.,Vrancea,7573,17,"0,66"
83,42.,Mun.București,114272,447,"2,69"
84,1.,Alba,37.425,377,"5,86"
85,2.,Arad,47.292,406,"5,79"
86,3.,Argeș,49.839,529,"3,88"
87,4.,Bacău,47.712,359,"5,82"
88,5.,Bihor,59.505,708,"9,12"
89,6.,Bistrița-Năsăud,22.554,229,"7,31"
90,7.,Botoșani,26.751,224,"5,65"
91,8.,Brașov,76.358,566,"9,24"
92,9.,Brăila,24.080,84,"1,90"
93,10.,Buzău,26.571,143,"3,20"
94,11.,Caraș-Severin,20.934,117,"3,43"
95,12.,Călărași,18.793,133,"2,13"
96,13.,Cluj,103.532,893,"14,19"
97,14.,Constanța,78.383,1164,"7,60"
98,15.,Covasna,14.055,17,"2,52"
99,16.,Dâmbovița,39.257,199,"3,27"
100,17.,Dolj,48.408,307,"3,01"
101,18.,Galați,47.724,377,"3,66"
102,19.,Giurgiu,20.984,122,"2,54"
103,20.,Gorj,16.200,87,"1,77"
104,21.,Harghita,16.765,123,"5,38"
105,22.,Hunedoara,40.264,484,"6,02"
106,23.,Ialomița,20.609,62,"2,50"
107,24.,Iași,79.786,742,"4,76"
108,25.,Ilfov,84.085,377,"10,40"
109,26.,Maramureș,37.797,239,"8,53"
110,27.,Mehedinți,16.407,42,"1,28"
111,28.,Mureș,44.013,347,"4,14"
112,29.,Neamț,36.061,314,"5,71"
113,30.,Olt,27.335,102,"1,65"
114,31.,Prahova,68.193,347,"3,64"
115,32.,SatuMare,24.937,273,"7,51"
116,33.,Sălaj,20.216,181,"6,43"
117,34.,Sibiu,48.301,404,"7,33"
118,35.,Suceava,48.016,548,"8,84"
119,36.,Teleorman,26.055,57,"1,97"
120,37.,Timiș,101.466,514,"12,31"
121,38.,Tulcea,15.421,199,"4,74"
122,39.,Vaslui,28.684,129,"2,31"
123,40.,Vâlcea,28.529,119,"3,43"
124,41.,Vrancea,19.541,90,"2,97"
